Deep size	Num units	Learning rate	Batch size	MSE	Tiempo de ejecución
4	200	0.0001	8	7.794612429279368e-06	512.2304184436798
3	200	0.001	8	1.7661084712017328e-05	506.0320653915405
3	100	0.001	8	2.1668063709512353e-05	285.2394669055939
3	200	0.0001	8	3.0937262636143714e-05	779.6192529201508
4	50	0.0001	8	3.2036503398558125e-05	619.3950109481812
2	200	0.001	8	3.3866796002257615e-05	254.5328929424286
4	200	1e-05	8	4.938474376103841e-05	1608.7945110797882
4	100	0.0001	8	5.2714745834236965e-05	315.4168210029602
3	100	0.0001	8	6.299050437519327e-05	437.5137369632721
4	50	0.001	8	6.555152504006401e-05	156.96803617477417
3	50	0.001	8	6.619629130000249e-05	135.83753275871277
2	100	0.0001	8	6.812799256294966e-05	746.6576068401337
2	50	0.001	8	7.407442171825096e-05	157.68184113502502
4	200	0.001	8	8.1967307778541e-05	96.32768607139587
2	200	0.0001	8	0.00010204215504927561	502.4558551311493
4	100	0.001	8	0.00011006352724507451	82.30145859718323
2	100	0.001	8	0.00011632191308308393	123.79425549507141
4	100	1e-05	8	0.00017219669825863093	1746.3207802772522
3	200	1e-05	8	0.00022828910732641816	1993.593955039978
2	50	0.0001	8	0.0002639235754031688	712.2670438289642
4	50	1e-05	8	0.0005080433911643922	1517.5322096347809
3	100	1e-05	8	0.0005770966527052224	1597.9291334152222
2	100	1e-05	8	0.0005956068052910268	1397.297986984253
3	50	1e-05	8	0.0007414129213429987	1460.2724695205688
3	50	0.0001	8	0.0007465105736628175	272.04115891456604
2	200	1e-05	8	0.0012639302294701338	1638.414737701416
2	50	1e-05	8	0.0021797586232423782	1345.9331152439117
