Deep layers	Num units	Learning rate	Batch size	Activation function	Loss	Accuracy	Elapsed time
8	21	0.005	256	ELU	0.0784197449684143	0.9765999913215637	89.43606209754944
8	21	0.005	64	ELU	0.07646492123603821	0.9764999747276306	287.3897864818573
8	21	0.005	256	ELU	0.07737264782190323	0.9761999845504761	95.07414174079895
8	21	0.005	256	ELU	0.07747942209243774	0.9761999845504761	143.34631896018982
8	21	0.005	256	ELU	0.07849724590778351	0.9761000275611877	125.94067883491516
8	21	0.005	256	ELU	0.07729034125804901	0.9761000275611877	143.38297390937805
2	42	0.005	64	ReLU	0.0792430117726326	0.9761000275611877	203.11008644104004
9	16	0.01	256	ELU	0.07973982393741608	0.9760000109672546	143.45545601844788
8	21	0.005	256	ELU	0.07807370275259018	0.9758999943733215	100.07596158981323
8	21	0.005	256	ELU	0.07692453265190125	0.9758999943733215	143.4001979827881
8	55	0.005	64	ELU	0.08011625707149506	0.9758999943733215	226.9679491519928
8	21	0.005	256	ELU	0.0774523988366127	0.9757000207901001	83.30795383453369
8	21	0.005	256	ELU	0.07758839428424835	0.9757000207901001	92.05802869796753
8	21	0.005	64	ELU	0.07851293683052063	0.9757000207901001	197.51082038879395
8	21	0.005	256	ELU	0.07886859774589539	0.9754999876022339	143.33006763458252
3	55	0.005	512	ReLU	0.08247169852256775	0.9753999710083008	83.22531366348267
8	21	0.005	256	ELU	0.07908927649259567	0.9753999710083008	143.36264204978943
8	55	0.005	64	ELU	0.07918345928192139	0.9753999710083008	205.31283807754517
3	55	0.005	512	ReLU	0.08174732327461243	0.9753000140190125	51.95403480529785
3	42	0.005	256	ReLU	0.08020757138729095	0.9753000140190125	67.826012134552
8	21	0.005	256	ELU	0.07923121005296707	0.9753000140190125	143.38580584526062
8	21	0.005	64	ELU	0.07943754643201828	0.9753000140190125	176.59627223014832
8	21	0.005	64	ELU	0.0804029181599617	0.9753000140190125	280.85214853286743
8	16	0.005	256	ELU	0.07850795984268188	0.9751999974250793	130.83759379386902
8	42	0.005	64	ELU	0.0805976390838623	0.9750999808311462	171.6384732723236
8	21	0.005	64	ELU	0.08037970215082169	0.9750999808311462	263.3802363872528
3	42	0.005	256	ReLU	0.08076435327529907	0.9750000238418579	83.0425910949707
8	21	0.005	256	ELU	0.07898509502410889	0.9750000238418579	88.97102284431458
8	21	0.005	256	ELU	0.0802614837884903	0.9750000238418579	94.00857663154602
8	21	0.005	256	ELU	0.07976161688566208	0.9747999906539917	85.77620339393616
2	55	0.005	128	ELU	0.08029425889253616	0.9747999906539917	108.5880560874939
8	16	0.005	256	ELU	0.07992822676897049	0.9746000170707703	73.03919243812561
8	16	0.005	256	ELU	0.08004094660282135	0.9746000170707703	89.5334324836731
3	55	0.05	512	ReLU	0.08460243791341782	0.9745000004768372	76.63056325912476
8	21	0.005	256	ELU	0.07865490764379501	0.9745000004768372	107.33854389190674
8	16	0.005	256	ReLU	0.08376657962799072	0.974399983882904	58.61559176445007
8	21	0.005	256	ELU	0.07976976037025452	0.974399983882904	143.38446807861328
2	16	0.005	256	ReLU	0.08484168350696564	0.9743000268936157	83.054523229599
3	55	0.005	256	ReLU	0.08052988350391388	0.9743000268936157	95.5801739692688
8	21	0.005	64	ELU	0.07988375425338745	0.9743000268936157	203.39383268356323
8	55	0.005	64	ELU	0.08039449155330658	0.9743000268936157	263.8058943748474
3	42	0.005	256	ReLU	0.08323029428720474	0.9742000102996826	60.121108293533325
2	42	0.005	256	ReLU	0.08347960561513901	0.9742000102996826	83.00431180000305
8	21	0.005	256	ReLU	0.08397986739873886	0.9740999937057495	83.37673425674438
8	55	0.005	64	ELU	0.0796322375535965	0.9740999937057495	264.0080723762512
8	21	0.005	256	ELU	0.07942835986614227	0.9739999771118164	143.33158111572266
3	55	0.005	512	ReLU	0.08370773494243622	0.973800003528595	83.22783184051514
2	42	0.005	256	ReLU	0.08180330693721771	0.9736999869346619	82.99963617324829
8	21	0.005	256	ELU	0.08193975687026978	0.9736999869346619	143.4040379524231
9	42	0.0005	128	ReLU	0.08534446358680725	0.9736999869346619	203.47641324996948
8	21	0.005	512	ELU	0.08548207581043243	0.9735999703407288	83.28674030303955
8	16	0.005	256	ELU	0.08433329313993454	0.9735999703407288	83.33005094528198
9	16	0.005	256	ReLU	0.0859471932053566	0.9735000133514404	43.23204207420349
3	42	0.005	256	ReLU	0.08409011363983154	0.9735000133514404	64.31034564971924
2	21	0.005	256	ReLU	0.08693046122789383	0.9735000133514404	74.74042797088623
8	21	0.005	256	ELU	0.08450713753700256	0.9733999967575073	83.71348214149475
9	16	0.005	256	ReLU	0.08596550673246384	0.9731000065803528	42.384735345840454
2	16	0.005	128	ELU	0.08623085170984268	0.9731000065803528	121.55777192115784
9	16	0.005	256	ELU	0.08627915382385254	0.9729999899864197	83.47562074661255
4	21	0.005	256	ELU	0.08850632607936859	0.9722999930381775	42.12946844100952
8	21	0.005	256	ELU	0.09230942279100418	0.9721999764442444	42.41675305366516
3	21	0.005	512	ELU	0.08814340829849243	0.972100019454956	42.18111562728882
8	21	0.005	512	ELU	0.088656947016716	0.972000002861023	59.4956259727478
8	4	0.01	512	ELU	0.09303611516952515	0.9718999862670898	38.51085805892944
2	21	0.005	256	ReLU	0.08828966319561005	0.9718999862670898	49.933045625686646
6	4	0.01	512	ELU	0.0934283435344696	0.9717000126838684	32.08941435813904
9	16	0.005	256	ELU	0.08925960958003998	0.9715999960899353	83.41602993011475
8	21	0.005	256	ELU	0.09103630483150482	0.9714999794960022	31.353422164916992
8	21	0.005	512	ELU	0.08970993757247925	0.9714999794960022	42.4374635219574
8	16	0.05	256	ReLU	0.09791607409715652	0.97079998254776	51.76778316497803
4	3	0.005	256	ELU	0.10377305746078491	0.9700000286102295	83.86283493041992
8	13	0.0005	512	ReLU	0.09883196651935577	0.9696999788284302	83.39638686180115
8	5	0.01	512	ELU	0.10201402008533478	0.9693999886512756	22.006415843963623
3	6	0.0001	128	ELU	0.10888312757015228	0.9692999720573425	174.2750039100647
6	42	5e-05	512	ReLU	0.10227184742689133	0.9690999984741211	84.92384076118469
7	4	5e-05	512	ELU	0.12036479264497757	0.9649999737739563	83.44704484939575
5	55	0.05	256	ReLU	0.12321479618549347	0.9638000130653381	15.91141676902771
3	42	0.1	512	ReLU	0.13134227693080902	0.963699996471405	11.375176906585693
3	10	5e-05	512	ELU	0.12401022762060165	0.9635999798774719	83.17192482948303
7	42	0.05	128	ReLU	0.17688310146331787	0.9373000264167786	19.3480384349823
7	42	0.05	128	ReLU	0.2104790061712265	0.9291999936103821	23.751620531082153
4	55	0.05	256	ELU	0.19622033834457397	0.9259999990463257	11.699162483215332
4	2	0.005	256	ReLU	0.9524035453796387	0.5965999960899353	10.429308414459229
9	42	0.1	256	ReLU	0.9523777365684509	0.5965999960899353	30.415108680725098
9	16	0.1	128	ELU	0.9525021314620972	0.5965999960899353	42.466999530792236
4	89	0.1	64	ReLU	0.9523886442184448	0.5965999960899353	143.21094036102295
