Deep size	Num units	Learning rate	Accuracy	Tiempo de ejecución
5	68	0.001	0.9715999960899353	42.23215889930725
5	55	0.001	0.9714999794960022	42.24823355674744
7	89	0.001	0.9714000225067139	42.99496865272522
3	42	0.005	0.9713000059127808	19.135377883911133
5	89	0.0005	0.9710999727249146	33.094106674194336
2	16	0.01	0.9708999991416931	21.46173071861267
4	55	0.001	0.97079998254776	21.794003009796143
8	89	0.001	0.9707000255584717	48.80541491508484
8	89	0.01	0.9706000089645386	84.18557500839233
8	21	0.0005	0.9706000089645386	23.388184547424316
4	21	0.005	0.9706000089645386	18.783071041107178
9	31	0.001	0.9704999923706055	42.83154296875
8	68	0.0005	0.9704999923706055	42.63167905807495
4	68	0.001	0.9704999923706055	42.215946674346924
7	6	0.005	0.9704999923706055	19.272851943969727
5	16	0.001	0.9704999923706055	18.84666347503662
3	89	0.001	0.9703999757766724	42.10700798034668
9	68	0.0005	0.9703999757766724	41.06058144569397
2	10	0.005	0.9703999757766724	16.11719298362732
2	68	0.001	0.970300018787384	21.98196005821228
5	26	0.001	0.970300018787384	21.788413047790527
8	68	0.001	0.9702000021934509	42.71315908432007
5	31	0.005	0.9702000021934509	20.68458890914917
9	89	0.001	0.9700999855995178	46.61690902709961
8	13	0.001	0.9700999855995178	22.09838557243347
2	89	0.001	0.9700999855995178	21.741127014160156
3	55	0.0005	0.9700999855995178	21.698808908462524
5	31	0.001	0.9700999855995178	21.08802103996277
4	31	0.005	0.9700999855995178	19.235989093780518
3	42	0.001	0.9700999855995178	18.83201789855957
7	31	0.005	0.9700000286102295	21.9126980304718
7	13	0.005	0.9700000286102295	21.69779896736145
8	55	0.005	0.9699000120162964	43.13270854949951
6	55	0.001	0.9699000120162964	43.00314521789551
4	68	0.01	0.9699000120162964	22.37366247177124
6	13	0.001	0.9699000120162964	19.754918336868286
6	21	0.005	0.9699000120162964	16.854756116867065
7	68	0.0005	0.9697999954223633	42.453885078430176
3	26	0.005	0.9697999954223633	21.608922481536865
3	21	0.005	0.9697999954223633	21.569127082824707
8	89	0.0005	0.9696999788284302	37.55400061607361
5	89	0.001	0.9696999788284302	33.67952346801758
7	68	0.001	0.9696999788284302	27.30311155319214
4	68	0.0005	0.9696999788284302	23.647729635238647
7	26	0.005	0.9696999788284302	22.338404655456543
3	31	0.001	0.9696999788284302	22.213746547698975
4	55	0.0005	0.9696999788284302	21.946926593780518
2	21	0.01	0.9696999788284302	21.475764274597168
8	16	0.001	0.9696999788284302	19.246715784072876
9	42	0.0005	0.9696000218391418	42.7281334400177
7	26	0.0005	0.9696000218391418	42.383214235305786
5	42	0.001	0.9696000218391418	42.248276472091675
8	42	0.005	0.9696000218391418	28.643110752105713
7	13	0.0005	0.9696000218391418	21.82315182685852
3	31	0.005	0.9696000218391418	21.678389072418213
7	31	0.001	0.9696000218391418	18.9747257232666
8	16	0.01	0.9695000052452087	18.618408679962158
2	42	0.001	0.9695000052452087	17.54305362701416
6	68	0.001	0.9693999886512756	42.955486536026
7	26	0.001	0.9693999886512756	42.40552496910095
5	68	0.0005	0.9693999886512756	25.87832808494568
4	42	0.0005	0.9693999886512756	21.74381709098816
4	8	0.01	0.9693999886512756	21.611124277114868
9	26	0.0005	0.9692999720573425	43.18445658683777
6	89	0.005	0.9692999720573425	42.33254528045654
9	13	0.01	0.9692999720573425	22.08594036102295
7	10	0.01	0.9692999720573425	21.890705823898315
2	13	0.01	0.9692999720573425	21.6328444480896
5	13	0.005	0.9692999720573425	18.50642228126526
2	31	0.01	0.9692999720573425	17.388423681259155
2	26	0.01	0.9692999720573425	17.06517744064331
4	6	0.01	0.9692999720573425	14.981614828109741
9	31	0.005	0.9692000150680542	42.64513301849365
7	13	0.01	0.9692000150680542	22.510261297225952
5	21	0.005	0.9692000150680542	22.04386854171753
8	26	0.005	0.9692000150680542	20.185912370681763
3	55	0.001	0.9692000150680542	17.62137460708618
3	13	0.005	0.9692000150680542	14.542652606964111
8	89	0.005	0.9690999984741211	31.49270725250244
6	42	0.0005	0.9690999984741211	24.32503581047058
6	16	0.0005	0.9690999984741211	22.503549337387085
9	10	0.001	0.9690999984741211	22.16525149345398
