Deep size	Num units	Learning rate	Batch size	Epochs	Error	Tiempo de ejecución
12	12	0.0032	4	200	2.9458953124688568e-05	2609.40305185318
12	16	0.0056	2	150	3.1711278164853403e-05	3847.72119140625
16	12	0.0016	16	200	3.46397771055583e-05	851.5323078632355
12	16	0.0064	8	150	3.506182363104732e-05	1029.0114877223969
16	12	0.004	2	100	3.5959400848997e-05	2668.7487189769745
8	16	0.0016	4	200	3.6943672240353446e-05	2316.5907537937164
16	8	0.004	8	150	3.7082305065303065e-05	1146.123075246811
8	12	0.0024000000000000002	2	150	3.8082855215651476e-05	3455.8075156211853
16	12	0.0024000000000000002	4	200	3.920587116076185e-05	2905.4062559604645
16	8	0.0016	2	200	3.956092847088683e-05	5660.725119590759
8	12	0.0048000000000000004	16	200	3.96697801846874e-05	553.8885598182678
16	16	0.0016	2	100	3.999622380814138e-05	2902.3017637729645
16	12	0.0016	8	100	4.149610649881613e-05	721.475917339325
12	16	0.0064	2	150	4.162910224973125e-05	3868.079404592514
16	12	0.0032	2	150	4.264077001812037e-05	4243.323086500168
16	12	0.0024000000000000002	2	50	4.2690318302194247e-05	1455.5243208408356
12	12	0.0016	2	50	4.2723867969069737e-05	1291.2987043857574
16	8	0.0024000000000000002	4	100	4.3331010121997915e-05	1364.6492507457733
8	12	0.0048000000000000004	16	100	4.3698266191239516e-05	315.51972579956055
8	8	0.0032	2	150	4.3959807636707766e-05	3518.1006190776825
16	12	0.0016	2	50	4.4608886834334433e-05	1405.3321640491486
12	12	0.004	8	150	4.529787692820938e-05	1033.571634054184
12	12	0.004	8	150	4.605657973533951e-05	1023.2250440120697
16	16	0.0016	4	50	4.837013119909725e-05	675.7121193408966
16	12	0.0056	2	150	4.900368172007976e-05	4426.918723106384
16	8	0.0024000000000000002	2	150	4.960285700558831e-05	4261.725382328033
16	8	0.0032	2	100	4.963583761427468e-05	2339.281152009964
16	12	0.0016	2	50	5.076808631841031e-05	1399.9609541893005
12	12	0.004	8	150	5.1628325999828526e-05	1059.1749753952026
16	8	0.0032	16	100	5.1706871168870314e-05	365.50909090042114
8	8	0.0024000000000000002	4	100	5.281490408272032e-05	1180.7694787979126
8	8	0.0016	2	50	5.346453399162223e-05	1127.765063047409
16	8	0.0016	2	100	5.354714627000814e-05	2936.8513643741608
16	8	0.0024000000000000002	4	50	5.44759705333252e-05	765.1087019443512
16	12	0.0008	2	50	5.4555413679254326e-05	1486.6729497909546
16	12	0.0016	2	50	5.5323194016216266e-05	1454.3907692432404
16	8	0.0016	4	100	5.626669377693539e-05	1294.189781665802
12	16	0.0024000000000000002	16	50	5.665814711355872e-05	178.40020442008972
16	16	0.0056	4	100	5.68897948054548e-05	1440.799176454544
4	12	0.0016	2	50	5.916478704133243e-05	966.7286050319672
16	8	0.0016	2	50	6.033357956420855e-05	1353.5176479816437
8	8	0.0024000000000000002	4	50	6.055026557936767e-05	571.2170271873474
16	16	0.004	16	100	6.154521895728837e-05	387.07430124282837
16	12	0.0048000000000000004	16	50	6.238106303778796e-05	202.0476586818695
8	12	0.0016	8	50	6.252953097152842e-05	291.0179760456085
12	8	0.0032	8	100	6.574209494555396e-05	667.5461649894714
16	12	0.004	4	100	6.593322404833612e-05	1368.14005112648
4	12	0.0032	16	50	6.596084346203154e-05	131.9905993938446
