Deep layers	Num units	Learning rate	Loss	Accuracy	Elapsed time
3	100	0.0001	0.09857343137264252	0.9714999794960022	34.2783043384552
3	100	0.0001	0.09431245177984238	0.9713000059127808	34.152706146240234
3	100	0.0001	0.09711135923862457	0.9710000157356262	33.93140983581543
3	100	0.0001	0.09466465562582016	0.97079998254776	33.97128129005432
3	100	0.0001	0.09710201621055603	0.9707000255584717	33.85500168800354
3	100	0.0001	0.09478966891765594	0.9706000089645386	34.015069007873535
3	100	0.0001	0.097224161028862	0.9703999757766724	33.77818703651428
3	100	0.0001	0.09765177965164185	0.9703999757766724	33.99117159843445
3	50	0.0001	0.09524637460708618	0.970300018787384	26.794257640838623
3	100	0.0001	0.09772007167339325	0.970300018787384	35.46355700492859
3	100	0.0001	0.09468870609998703	0.9702000021934509	34.10094475746155
3	100	0.0001	0.09562721103429794	0.9700999855995178	27.86694860458374
2	100	0.0001	0.0985003188252449	0.9700999855995178	30.093494653701782
2	100	0.0001	0.10002695024013519	0.9700999855995178	30.290807723999023
3	100	0.0001	0.09862781316041946	0.9697999954223633	34.01834011077881
2	100	0.0001	0.0985313281416893	0.9696999788284302	30.140045881271362
3	100	0.0001	0.09616579115390778	0.9696000218391418	27.933034896850586
2	100	0.0001	0.0979137271642685	0.9696000218391418	30.06874990463257
3	50	0.0001	0.09907182306051254	0.9693999886512756	26.73545479774475
2	50	0.0001	0.10384051501750946	0.9690999984741211	25.222798824310303
2	100	0.0001	0.09971554577350616	0.968999981880188	28.974069833755493
3	50	0.0001	0.1022661104798317	0.9689000248908997	21.496236324310303
3	100	0.0001	0.10279765725135803	0.9685999751091003	19.64182949066162
3	100	1e-05	0.13114473223686218	0.9611999988555908	34.002626180648804
3	100	1e-05	0.1352338194847107	0.9592999815940857	33.79049873352051
3	50	1e-05	0.16150841116905212	0.9545999765396118	27.02402114868164
2	100	1e-05	0.1570586860179901	0.9544000029563904	30.13193392753601
